date,category,name,change,percentage
2024-07-01,Multi-Monitor Desktop Resolution,5760 x 1080,-0.0006,0.0316
2024-07-01,Multi-Monitor Desktop Resolution,5760 x 2160,-0.0002,0.0490
2024-07-01,Multi-Monitor Desktop Resolution,6000 x 1440,0.0002,0.0126
2024-07-01,Multi-Monitor Desktop Resolution,6400 x 1440,0.0006,0.0172
2024-07-01,Multi-Monitor Desktop Resolution,6400 x 2160,0.0004,0.0290
2024-07-01,Multi-Monitor Desktop Resolution,7040 x 1440,0.0002,0.0056
2024-07-01,Multi-Monitor Desktop Resolution,7280 x 2160,-0.0004,0.0042
2024-07-01,Multi-Monitor Desktop Resolution,7680 x 1440,0.0002,0.0078
2024-07-01,Multi-Monitor Desktop Resolution,7680 x 2160,0.0004,0.0250
2024-07-01,Multi-Monitor Desktop Resolution,Other,0.0090,0.5094
2024-07-01,OS Version,"""Arch Linux"" 64 bit",0.0000,0.0017
2024-07-01,OS Version,"""Manjaro Linux"" 64 bit",0.0000,0.0006
2024-07-01,OS Version,Debian GNU/Linux 12 (bookworm) 64 bit,0.0005,0.0005
2024-07-01,OS Version,Linux Mint 21.3 64 bit,0.0000,0.0011
2024-07-01,OS Version,MacOS 14.4.1 64 bit,-0.0006,0.0008
2024-07-01,OS Version,MacOS 14.5.0 64 bit,0.0011,0.0069
2024-07-01,OS Version,Ubuntu 22.04.4 LTS 64 bit,-0.0001,0.0008
2024-07-01,OS Version,Ubuntu 24.04 LTS 64 bit,0.0001,0.0007
2024-07-01,OS Version,Ubuntu Core 22 64 bit,0.0000,0.0006
2024-07-01,OS Version,Windows 10 64 bit,0.0074,0.5016
2024-07-01,OS Version,Windows 11 64 bit,-0.0082,0.4581
2024-07-01,OS Version,Windows 7 64 bit,0.0001,0.0041
2024-07-01,OS Version,Windows 8.1 64 bit,0.0000,0.0008
2024-07-01,Other Settings,AES,0.0003,0.9839
2024-07-01,Other Settings,AVX,-0.0002,0.9715
2024-07-01,Other Settings,AVX2,0.0009,0.9383
2024-07-01,Other Settings,AVX512CD,-0.0001,0.1222
2024-07-01,Other Settings,AVX512ER,0.0000,0.0000
2024-07-01,Other Settings,AVX512F,-0.0001,0.1222
2024-07-01,Other Settings,AVX512PF,0.0000,0.0000
2024-07-01,Other Settings,AVX512VNNI,0.0001,0.1216
2024-07-01,Other Settings,CMPXCHG16B,0.0000,1.0000
2024-07-01,Other Settings,FCMOV,-0.0006,0.9863
2024-07-01,Other Settings,HyperThreading,0.0016,0.8742
2024-07-01,Other Settings,LAHF / SAHF,0.0000,1.0000
2024-07-01,Other Settings,NTFS,-0.0007,0.9644
2024-07-01,Other Settings,PrefetchW,0.0000,0.0000
2024-07-01,Other Settings,SHA,0.0035,0.6608
2024-07-01,Other Settings,SSE2,0.0000,1.0000
2024-07-01,Other Settings,SSE3,0.0000,1.0000
2024-07-01,Other Settings,SSE4.1,0.0001,0.9972
2024-07-01,Other Settings,SSE4.2,0.0001,0.9962
2024-07-01,Other Settings,SSE4a,-0.0060,0.3290
2024-07-01,Other Settings,SSSE3,0.0001,0.9982
2024-07-01,Physical CPUs,1 cpu,0.0000,0.0006
2024-07-01,Physical CPUs,10 cpus,0.0042,0.0641
2024-07-01,Physical CPUs,11 cpus,0.0000,0.0003
2024-07-01,Physical CPUs,12 cpus,0.0012,0.0558
2024-07-01,Physical CPUs,13 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,14 cpus,-0.0024,0.0391
2024-07-01,Physical CPUs,15 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,16 cpus,0.0001,0.0376
2024-07-01,Physical CPUs,17 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,18 cpus,0.0000,0.0004
2024-07-01,Physical CPUs,19 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,2 cpus,-0.0004,0.0509
2024-07-01,Physical CPUs,20 cpus,0.0008,0.0084
2024-07-01,Physical CPUs,21 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,22 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,23 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,24 cpus,-0.0012,0.0166
2024-07-01,Physical CPUs,26 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,28 cpus,0.0000,0.0001
2024-07-01,Physical CPUs,3 cpus,0.0000,0.0026
2024-07-01,Physical CPUs,32 cpus,0.0000,0.0001
2024-07-01,Physical CPUs,36 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,4 cpus,-0.0017,0.1911
2024-07-01,Physical CPUs,40 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,44 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,48 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,5 cpus,0.0000,0.0003
2024-07-01,Physical CPUs,52 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,56 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,6 cpus,0.0023,0.3286
2024-07-01,Physical CPUs,64 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,7 cpus,-0.0001,0.0000
2024-07-01,Physical CPUs,8 cpus,-0.0029,0.2032
2024-07-01,Physical CPUs,9 cpus,0.0000,0.0000
2024-07-01,Physical CPUs,96 cpus,0.0000,0.0000
2024-07-01,Primary Display Resolution,1280 x 1024,-0.0001,0.0033
2024-07-01,Primary Display Resolution,1280 x 720,0.0001,0.0023
2024-07-01,Primary Display Resolution,1280 x 800,-0.0003,0.0046
2024-07-01,Primary Display Resolution,1360 x 768,-0.0001,0.0060
2024-07-01,Primary Display Resolution,1366 x 768,0.0001,0.0342
2024-07-01,Primary Display Resolution,1440 x 900,-0.0001,0.0098
2024-07-01,Primary Display Resolution,1600 x 900,-0.0002,0.0099
2024-07-01,Primary Display Resolution,1680 x 1050,-0.0003,0.0059
2024-07-01,Primary Display Resolution,1920 x 1080,-0.0019,0.5728
2024-07-01,Primary Display Resolution,1920 x 1200,0.0000,0.0118
2024-07-01,Primary Display Resolution,2560 x 1080,-0.0001,0.0086
2024-07-01,Primary Display Resolution,2560 x 1440,0.0065,0.2003
2024-07-01,Primary Display Resolution,2560 x 1600,-0.0033,0.0347
2024-07-01,Primary Display Resolution,2880 x 1800,0.0001,0.0031
2024-07-01,Primary Display Resolution,3440 x 1440,-0.0006,0.0219
2024-07-01,Primary Display Resolution,3840 x 2160,-0.0006,0.0365
2024-07-01,Primary Display Resolution,5120 x 1440,0.0000,0.0030
2024-07-01,Primary Display Resolution,800 x 1280,0.0003,0.0049
2024-07-01,Primary Display Resolution,Other,0.0005,0.0264
2024-07-01,System RAM,12 GB,0.0001,0.0303
2024-07-01,System RAM,16 GB,-0.0130,0.4593
2024-07-01,System RAM,24 GB,0.0004,0.0132
2024-07-01,System RAM,32 GB,0.0143,0.3081
2024-07-01,System RAM,4 GB,0.0001,0.0270
2024-07-01,System RAM,48 GB,-0.0001,0.0051
2024-07-01,System RAM,64 GB,-0.0005,0.0310
2024-07-01,System RAM,8 GB,-0.0016,0.1129
2024-07-01,System RAM,Less than 4 GB,0.0000,0.0007
2024-07-01,System RAM,More than 64 GB,0.0000,0.0033
2024-07-01,System RAM,Other,0.0003,0.0091
2024-07-01,Total Hard Drive Space,10 GB to  99 GB,0.0001,0.0027
2024-07-01,Total Hard Drive Space,100 GB to 249 GB,0.0002,0.0600
2024-07-01,Total Hard Drive Space,250 GB to 499 GB,-0.0040,0.1796
2024-07-01,Total Hard Drive Space,500 GB to 749 GB,-0.0007,0.0293
2024-07-01,Total Hard Drive Space,750 GB to 999 GB,-0.0055,0.1692
2024-07-01,Total Hard Drive Space,Above 1 TB,0.0101,0.5589
2024-07-01,Total Hard Drive Space,Less than 10 GB,0.0000,0.0000
2024-07-01,Total Hard Drive Space,Unspecified,0.0000,0.0003
2024-07-01,VR Headsets,Bigscreen Beyond,-0.0003,0.0035
2024-07-01,VR Headsets,DPVR E4,-0.0001,0.0005
2024-07-01,VR Headsets,HTC VIVE XR Elite,-0.0012,0.0034
2024-07-01,VR Headsets,HTC Vive,-0.0011,0.0405
2024-07-01,VR Headsets,HTC Vive Cosmos,-0.0002,0.0020
2024-07-01,VR Headsets,HTC Vive Pro,-0.0006,0.0109
2024-07-01,VR Headsets,HTC Vive Pro 2,0.0003,0.0074
2024-07-01,VR Headsets,Iriun VR,0.0000,0.0003
2024-07-01,VR Headsets,Meta Quest 3,0.0015,0.1565
2024-07-01,VR Headsets,Meta Quest Pro,-0.0006,0.0058
2024-07-01,VR Headsets,Oculus Quest,0.0003,0.0107
2024-07-01,VR Headsets,Oculus Quest 2,0.0139,0.3966
2024-07-01,VR Headsets,Oculus Rift,0.0010,0.0382
2024-07-01,VR Headsets,Oculus Rift DK2,-0.0001,0.0003
2024-07-01,VR Headsets,Oculus Rift S,-0.0017,0.0746
2024-07-01,VR Headsets,Other,-0.0005,0.0115
2024-07-01,VR Headsets,Pico 4,-0.0019,0.0237
2024-07-01,VR Headsets,Pico Neo 2,-0.0001,0.0002
2024-07-01,VR Headsets,Pico Neo 3,-0.0013,0.0050
2024-07-01,VR Headsets,Pimax 5K Plus,0.0001,0.0003
2024-07-01,VR Headsets,Pimax 8K,-0.0002,0.0027
2024-07-01,VR Headsets,Riftcat Vridge,-0.0000,0.0020
2024-07-01,VR Headsets,Sony PlayStation VR,-0.0002,0.0004
2024-07-01,VR Headsets,Valve Index HMD,-0.0035,0.1610
2024-07-01,VR Headsets,Varjo Aero,-0.0002,0.0010
2024-07-01,VR Headsets,Windows Mixed Reality,-0.0025,0.0373
2024-07-01,VR Headsets,iVRy,-0.0007,0.0036
2024-07-01,VRAM,1 GB,-0.0030,0.0513
2024-07-01,VRAM,10 GB,-0.0011,0.0299
2024-07-01,VRAM,11 GB,-0.0009,0.0129
2024-07-01,VRAM,12 GB,0.0060,0.1839
2024-07-01,VRAM,128 MB,-0.0007,0.0080
2024-07-01,VRAM,16 GB,0.0005,0.0288
2024-07-01,VRAM,2 GB,-0.0013,0.0366
2024-07-01,VRAM,24 GB,-0.0017,0.0221
2024-07-01,VRAM,3 GB,-0.0006,0.0147
2024-07-01,VRAM,4 GB,-0.0049,0.0810
2024-07-01,VRAM,512 MB,0.0001,0.0306
2024-07-01,VRAM,6 GB,0.0009,0.1386
2024-07-01,VRAM,8 GB,0.0065,0.3544
2024-07-01,VRAM,Other,0.0001,0.0073
2024-07-01,Video Card Description,,0.0005,0.0103
2024-07-01,Video Card Description,AMD AMD Custom GPU 0405,-0.0002,0.0060
2024-07-01,Video Card Description,AMD Radeon (TM) Graphics,0.0000,0.0018
2024-07-01,Video Card Description,AMD Radeon Graphics,0.0001,0.0199
2024-07-01,Video Card Description,AMD Radeon Graphics (RADV VANGOGH),0.0002,0.0026
2024-07-01,Video Card Description,AMD Radeon RX 480,-0.0001,0.0015
2024-07-01,Video Card Description,AMD Radeon RX 550,-0.0001,0.0028
2024-07-01,Video Card Description,AMD Radeon RX 5500 XT,-0.0001,0.0017
2024-07-01,Video Card Description,AMD Radeon RX 5600 XT,0.0000,0.0020
2024-07-01,Video Card Description,AMD Radeon RX 570,-0.0002,0.0053
2024-07-01,Video Card Description,AMD Radeon RX 5700 XT,-0.0001,0.0060
2024-07-01,Video Card Description,AMD Radeon RX 580,-0.0003,0.0075
2024-07-01,Video Card Description,AMD Radeon RX 580 2048SP,0.0000,0.0050
2024-07-01,Video Card Description,AMD Radeon RX 6500 XT,-0.0001,0.0018
2024-07-01,Video Card Description,AMD Radeon RX 6600,-0.0002,0.0071
2024-07-01,Video Card Description,AMD Radeon RX 6600 XT,0.0000,0.0038
2024-07-01,Video Card Description,AMD Radeon RX 6650 XT,-0.0002,0.0029
2024-07-01,Video Card Description,AMD Radeon RX 6700 XT,-0.0002,0.0064
2024-07-01,Video Card Description,AMD Radeon RX 6750 GRE 12GB,-0.0002,0.0017
2024-07-01,Video Card Description,AMD Radeon RX 6750 XT,0.0000,0.0032
2024-07-01,Video Card Description,AMD Radeon RX 6800,-0.0001,0.0020
2024-07-01,Video Card Description,AMD Radeon RX 6800 XT,-0.0001,0.0028
2024-07-01,Video Card Description,AMD Radeon RX 6900 XT,-0.0001,0.0020
2024-07-01,Video Card Description,AMD Radeon RX 7900 XTX,-0.0001,0.0037
2024-07-01,Video Card Description,AMD Radeon Vega 3 Graphics,0.0004,0.0030
2024-07-01,Video Card Description,AMD Radeon Vega 8 Graphics,0.0000,0.0048
2024-07-01,Video Card Description,AMD Radeon(TM) Graphics,0.0001,0.0106
2024-07-01,Video Card Description,Intel HD Graphics 4000,0.0000,0.0021
2024-07-01,Video Card Description,Intel HD Graphics 4600,-0.0001,0.0023
2024-07-01,Video Card Description,Intel HD Graphics 520,0.0000,0.0026
2024-07-01,Video Card Description,Intel HD Graphics 620,0.0001,0.0027
2024-07-01,Video Card Description,Intel Haswell,0.0000,0.0016
2024-07-01,Video Card Description,Intel Iris Xe Graphics,0.0001,0.0192
2024-07-01,Video Card Description,Intel Ivy Bridge,0.0001,0.0016
2024-07-01,Video Card Description,Intel UHD Graphics 600,0.0001,0.0022
2024-07-01,Video Card Description,Intel UHD Graphics 620,0.0001,0.0046
2024-07-01,Video Card Description,Intel UHD Graphics 630,-0.0001,0.0036
2024-07-01,Video Card Description,Intel(R) UHD Graphics,0.0005,0.0148
2024-07-01,Video Card Description,NVIDIA GeForce GT 1030,-0.0001,0.0037
2024-07-01,Video Card Description,NVIDIA GeForce GT 730,-0.0001,0.0024
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1050,-0.0003,0.0104
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1050 Ti,-0.0009,0.0215
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1060,-0.0006,0.0302
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1070,-0.0004,0.0105
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1070 Ti,-0.0001,0.0035
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1080,-0.0002,0.0069
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1080 Ti,-0.0002,0.0047
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1650,-0.0016,0.0388
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1650 SUPER,-0.0002,0.0045
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1650 Ti,-0.0004,0.0061
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1660,-0.0004,0.0090
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1660 SUPER,0.0015,0.0226
2024-07-01,Video Card Description,NVIDIA GeForce GTX 1660 Ti,0.0001,0.0148
2024-07-01,Video Card Description,NVIDIA GeForce GTX 750 Ti,-0.0001,0.0032
2024-07-01,Video Card Description,NVIDIA GeForce GTX 960,-0.0001,0.0034
2024-07-01,Video Card Description,NVIDIA GeForce GTX 970,-0.0002,0.0037
2024-07-01,Video Card Description,NVIDIA GeForce RTX 2050,0.0001,0.0025
2024-07-01,Video Card Description,NVIDIA GeForce RTX 2060,0.0003,0.0334
2024-07-01,Video Card Description,NVIDIA GeForce RTX 2060 SUPER,0.0005,0.0129
2024-07-01,Video Card Description,NVIDIA GeForce RTX 2070,0.0001,0.0088
2024-07-01,Video Card Description,NVIDIA GeForce RTX 2070 SUPER,0.0001,0.0115
2024-07-01,Video Card Description,NVIDIA GeForce RTX 2080,-0.0003,0.0038
2024-07-01,Video Card Description,NVIDIA GeForce RTX 2080 SUPER,-0.0001,0.0044
2024-07-01,Video Card Description,NVIDIA GeForce RTX 2080 Ti,-0.0001,0.0033
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3050,-0.0008,0.0260
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3050 6GB Laptop GPU,0.0016,0.0016
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3050 Laptop GPU,-0.0004,0.0059
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3050 Ti,-0.0003,0.0020
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3050 Ti Laptop GPU,-0.0007,0.0089
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3060,0.0021,0.0571
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3060 Laptop GPU,-0.0035,0.0290
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3060 Ti,0.0001,0.0347
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3070,0.0015,0.0341
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3070 Laptop GPU,-0.0006,0.0064
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3070 Ti,0.0000,0.0140
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3070 Ti Laptop GPU,-0.0005,0.0031
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3080,-0.0002,0.0204
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3080 Laptop GPU,-0.0001,0.0016
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3080 Ti,-0.0004,0.0069
2024-07-01,Video Card Description,NVIDIA GeForce RTX 3090,-0.0003,0.0048
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4050 Laptop GPU,-0.0001,0.0085
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4060,0.0044,0.0336
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4060 Laptop GPU,-0.0035,0.0311
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4060 Ti,0.0037,0.0275
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4070,0.0037,0.0268
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4070 Laptop GPU,-0.0002,0.0054
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4070 SUPER,0.0018,0.0092
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4070 Ti,-0.0005,0.0116
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4070 Ti SUPER,0.0003,0.0035
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4080,0.0000,0.0075
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4080 Laptop GPU,-0.0003,0.0016
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4080 SUPER,0.0006,0.0039
2024-07-01,Video Card Description,NVIDIA GeForce RTX 4090,-0.0002,0.0090
2024-07-01,Video Card Description,Other,0.0012,0.0983
